КНР	6
ЦК	3
NBC	1
ТВ	1
КНДР	10
ЦВС	2
МПК	1
ИТАР-ТАСС	5
ВМФ	1
ФИФА	3
РИА	5
АМАН	1
ООН	4
КПК	2
ВВП	1
DIC	1
МВД	4
США	9
СССР	1
РБК	2
РФ	3
РГБ	3
ДТП	1
